Feature,Description
Q1A,"User answer to question (1=Disagree, 2=Slightly disagree, 3=Neutral, 4=Slightly agree, 5=Agree)"
Q1I,Position of the question in the survey (1-20)
Q1E,Time spent on the question (in milliseconds)
Q2A,"User answer to question (1=Disagree, 2=Slightly disagree, 3=Neutral, 4=Slightly agree, 5=Agree)"
Q2I,Position of the question in the survey (1-20)
Q2E,Time spent on the question (in milliseconds)
Q3A,"User answer to question (1=Disagree, 2=Slightly disagree, 3=Neutral, 4=Slightly agree, 5=Agree)"
Q3I,Position of the question in the survey (1-20)
Q3E,Time spent on the question (in milliseconds)
Q4A,"User answer to question (1=Disagree, 2=Slightly disagree, 3=Neutral, 4=Slightly agree, 5=Agree)"
Q4I,Position of the question in the survey (1-20)
Q4E,Time spent on the question (in milliseconds)
Q5A,"User answer to question (1=Disagree, 2=Slightly disagree, 3=Neutral, 4=Slightly agree, 5=Agree)"
Q5I,Position of the question in the survey (1-20)
Q5E,Time spent on the question (in milliseconds)
Q6A,"User answer to question (1=Disagree, 2=Slightly disagree, 3=Neutral, 4=Slightly agree, 5=Agree)"
Q6I,Position of the question in the survey (1-20)
Q6E,Time spent on the question (in milliseconds)
Q7A,"User answer to question (1=Disagree, 2=Slightly disagree, 3=Neutral, 4=Slightly agree, 5=Agree)"
Q7I,Position of the question in the survey (1-20)
Q7E,Time spent on the question (in milliseconds)
Q8A,"User answer to question (1=Disagree, 2=Slightly disagree, 3=Neutral, 4=Slightly agree, 5=Agree)"
Q8I,Position of the question in the survey (1-20)
Q8E,Time spent on the question (in milliseconds)
Q9A,"User answer to question (1=Disagree, 2=Slightly disagree, 3=Neutral, 4=Slightly agree, 5=Agree)"
Q9I,Position of the question in the survey (1-20)
Q9E,Time spent on the question (in milliseconds)
Q10A,"User answer to question (1=Disagree, 2=Slightly disagree, 3=Neutral, 4=Slightly agree, 5=Agree)"
Q10I,Position of the question in the survey (1-20)
Q10E,Time spent on the question (in milliseconds)
Q11A,"User answer to question (1=Disagree, 2=Slightly disagree, 3=Neutral, 4=Slightly agree, 5=Agree)"
Q11I,Position of the question in the survey (1-20)
Q11E,Time spent on the question (in milliseconds)
Q12A,"User answer to question (1=Disagree, 2=Slightly disagree, 3=Neutral, 4=Slightly agree, 5=Agree)"
Q12I,Position of the question in the survey (1-20)
Q12E,Time spent on the question (in milliseconds)
Q13A,"User answer to question (1=Disagree, 2=Slightly disagree, 3=Neutral, 4=Slightly agree, 5=Agree)"
Q13I,Position of the question in the survey (1-20)
Q13E,Time spent on the question (in milliseconds)
Q14A,"User answer to question (1=Disagree, 2=Slightly disagree, 3=Neutral, 4=Slightly agree, 5=Agree)"
Q14I,Position of the question in the survey (1-20)
Q14E,Time spent on the question (in milliseconds)
Q15A,"User answer to question (1=Disagree, 2=Slightly disagree, 3=Neutral, 4=Slightly agree, 5=Agree)"
Q15I,Position of the question in the survey (1-20)
Q15E,Time spent on the question (in milliseconds)
Q16A,"User answer to question (1=Disagree, 2=Slightly disagree, 3=Neutral, 4=Slightly agree, 5=Agree)"
Q16I,Position of the question in the survey (1-20)
Q16E,Time spent on the question (in milliseconds)
